gen,mod,student,instructor,word_count,mean_word_length,different_words,valid_sentences_count,mean_words_per_sentence,mean_different_words_per_bucket
gen2,mod1_pro,santiagog,mdrlp,4368,4.937042124542124,1086,219,19.748858447488583,383.0
gen2,mod1_pro,velazquezml,mdrlp,4340,5.130184331797235,1031,145,29.8,355.0
gen3,mod1_pro,gonzalezj,grp,7706,5.219439397871788,1687,284,26.62676056338028,342.0
gen2,mod3_pro,moralesam,mdrlp,11043,4.840532464004347,1854,383,28.362924281984334,275.0
gen2,mod3_pro,alvareza,grdlr,11207,4.792897296332649,1838,419,26.58711217183771,396.0
gen3,mod1_pro,sanchezla,rias,7708,4.963544369486248,1452,240,31.904166666666665,369.0
gen3,mod1_pro,arzatet,grdlr,3241,5.238506633755014,952,127,25.30708661417323,387.0
gen3,mod3_pro,ortizmp,ado,9048,5.132404951370469,1655,214,41.822429906542055,344.0
gen3,mod3_pro,mandujanov,ado,12609,5.1694821159489255,1995,567,22.005291005291006,319.0
gen3,mod1_pro,mandujanov,ado,5179,5.036107356632555,1190,231,22.385281385281385,347.0
gen2,mod1_pro,lopezne,ado,5676,4.78276955602537,1117,176,32.11931818181818,333.0
gen3,mod1_pro,gonzalesjp,grdlr,4399,4.853375767219823,1041,207,20.830917874396135,353.0
gen2,mod3_pro,reynosopn,grdlr,10486,4.954987602517643,1526,447,22.624161073825505,367.0
gen2,mod3_pro,veraal,grdlr,7234,5.062620956593863,1360,396,18.015151515151516,336.0
gen3,mod3_pro,quezadama,ado,8148,5.30081001472754,1807,323,24.972136222910216,363.0
gen3,mod1_pro,canadaa,nss,5332,4.990247561890473,1300,167,31.491017964071855,364.0
gen3,mod1_pro,garciafj,grp,5153,4.671647583931691,1131,234,21.935897435897434,323.0
gen2,mod1_pro,nolazcoka,rsp,3644,4.978869374313941,1031,160,21.76875,354.0
gen3,mod3_pro,contrerasa,grdlr,9429,5.106692120055149,1646,442,20.92760180995475,382.0
gen2,mod3_pro,moralesoa,grp,21049,4.805786498170934,3327,895,23.3731843575419,340.0
gen2,mod1_pro,quezadaa,grdlr,6460,4.771826625386997,1249,411,15.306569343065693,357.0
gen3,mod1_pro,cruzod,rias,4535,4.985226019845645,1061,131,33.7557251908397,351.0
gen2,mod3_pro,acevesj,cva,8757,5.128240264930913,1557,390,21.05128205128205,364.0
gen3,mod1_pro,ruizjf,rias,4307,4.815648943580218,1048,177,24.096045197740114,389.0
gen3,mod1_pro,triulzio,mdrlp,5921,5.13882790069245,1368,274,21.124087591240876,372.0
gen2,mod3_pro,oteroad,grp,16160,5.136200495049505,2085,665,23.685714285714287,316.0
gen2,mod1_pro,martinezd,grp,8453,4.741275286880398,1499,248,33.99596774193548,365.0
