gen,mod,student,instructor,word_count,mean_word_length,different_words,valid_sentences_count,mean_words_per_sentence,mean_different_words_per_bucket
gen2,mod1_pro,moralesam,mdrlp,5197,4.885126034250529,1315,143,35.88811188811189,62.40677966101695
gen3,mod1_pro,martinezmdj,ado,5055,4.422551928783383,929,85,59.38823529411765,58.964285714285715
gen3,mod1_pro,dominguezpe,nss,12240,4.704901960784314,1834,651,17.94009216589862,59.157534246575345
gen3,mod1_pro,lopezca,grp,4000,5.01825,1026,135,29.57777777777778,62.75555555555555
gen3,mod1_pro,fragosomdca,rias,7181,4.718005848767581,1126,320,22.140625,59.85
gen3,mod3_pro,parrillacp,rsp,19764,5.073618700667881,2112,985,19.836548223350253,58.900862068965516
gen3,mod1_pro,martinezmm,ado,6558,5.000457456541628,1469,316,19.82278481012658,58.51898734177215
gen2,mod3_pro,suarezja,rsp,18622,5.142143700998819,2913,916,20.050218340611355,58.310810810810814
gen2,mod3_pro,rosiquela,mdrlp,15980,5.203817271589487,2419,803,19.158156911581568,54.33658536585366
gen3,mod3_pro,gonzalezjp,grdlr,9547,4.97674662197549,1728,459,20.455337690631808,58.95614035087719
gen3,mod3_pro,rodriguezv,mdrlp,5566,5.061444484369385,1054,267,20.636704119850187,57.21875
gen3,mod3_pro,ruizg,mdrlp,16891,4.9203717956308095,2527,744,22.147849462365592,59.25257731958763
gen2,mod1_pro,palominogl,grdlr,7253,4.812353508892872,1421,322,22.341614906832298,59.926829268292686
gen3,mod3_pro,villedal,grdlr,11047,5.183398207658188,1828,419,25.86873508353222,59.74809160305343
gen3,mod1_pro,vazquezb,grp,1643,4.866098600121728,544,56,29.339285714285715,61.666666666666664
gen3,mod3_pro,ruizjf,rias,10326,4.859287236103041,1877,423,24.04964539007092,62.7
gen3,mod1_pro,sotoa,grp,7681,4.866033068610858,1299,296,25.77364864864865,62.50588235294118
gen2,mod3_pro,sanchezm,rias,12802,4.734338384627402,1627,645,19.49922480620155,57.86666666666667
gen2,mod1_pro,moguelcg,cva,4770,4.981341719077568,1156,161,29.012422360248447,57.90909090909091
